date,open,close,high,low,volume,amount
2020-12-24,1603.79,1616.13,1644.67,1580.81,37857,6921989376.0
2020-12-25,1588.78,1615.79,1632.79,1585.79,23088,4218997632.0
2020-12-28,1612.39,1658.79,1674.59,1611.84,30080,5616528640.0
2020-12-29,1658.79,1652.79,1672.59,1640.79,22868,4275994832.0
2020-12-30,1655.79,1718.79,1718.79,1655.78,34452,6604461312.0
2020-12-31,1726.79,1783.79,1784.77,1724.79,38860,7682300672.0
2021-01-04,1785.77,1782.79,1790.78,1769.6,43514,8686920192.0
2021-01-05,1775.79,1845.24,1845.24,1768.25,52116,10592557312.0
2021-01-06,1850.59,1885.79,1910.79,1821.82,47410,9882593792.0
2021-01-07,1882.79,1925.79,1925.79,1860.79,37931,7991178752.0
2021-01-08,1927.79,1875.79,1936.67,1848.81,53862,11345202944.0
2021-01-11,1875.79,1885.52,1936.29,1844.39,51080,10768565504.0
2021-01-12,1873.79,1946.69,1946.69,1870.79,41059,8800558336.0
2021-01-13,1949.79,1949.79,1959.12,1920.79,34390,7418330880.0
2021-01-14,1941.79,1919.79,1948.79,1901.9,36152,7722089728.0
2021-01-15,1900.79,1867.79,1920.14,1814.79,59509,12372103168.0
2021-01-18,1846.85,1848.79,1877.27,1826.06,39144,8076715776.0
2021-01-19,1858.9,1795.2,1882.09,1792.64,46345,9479278592.0
2021-01-20,1793.79,1826.42,1841.28,1768.29,45082,9126453248.0
2021-01-21,1833.79,1855.79,1875.81,1826.79,38310,7953455872.0
2021-01-22,1854.79,1865.74,1885.79,1845.89,29248,6090260480.0
2021-01-25,1868.79,1960.79,1965.29,1868.79,55957,12029474560.0
2021-01-26,1970.79,1927.68,1972.79,1910.9,31747,6820173312.0
2021-01-27,1927.68,1874.79,1927.68,1870.79,37120,7809446400.0
2021-01-28,1865.79,1873.79,1895.45,1845.81,35129,7337084416.0
2021-01-29,1886.98,1901.97,1935.27,1876.01,33701,7166179328.0
2021-02-01,1915.79,1895.11,1945.79,1880.79,29341,6219639040.0
2021-02-02,1898.01,1930.79,1935.78,1887.89,34582,7372233472.0
2021-02-03,1935.79,1975.7,1984.06,1925.79,38714,8384049408.0
2021-02-04,1976.79,2106.64,2115.79,1976.79,63851,14596930304.0
2021-02-05,2110.79,2098.79,2150.39,2076.79,39729,9253566208.0
2021-02-08,2122.79,2154.59,2164.67,2098.79,35786,8420758528.0
2021-02-09,2154.59,2242.22,2242.22,2135.79,33297,7972930048.0
2021-02-10,2270.79,2386.79,2386.99,2270.79,61371,15675929600.0
2021-02-18,2373.77,2256.79,2413.67,2250.79,65912,16704135168.0
2021-02-19,2236.95,2245.79,2282.45,2167.39,59385,14525164544.0
2021-02-22,2240.79,2073.81,2240.79,2064.01,78935,18498777344.0
2021-02-23,2050.93,2092.79,2130.68,2050.79,57455,13316110848.0
2021-02-24,2093.78,1974.79,2103.79,1946.29,82116,18195034368.0
2021-02-25,1994.79,1935.79,2010.29,1907.0,59726,12982145792.0
2021-02-26,1885.79,1908.57,1965.74,1853.09,66525,14097015552.0
2021-03-01,1964.79,1943.79,1964.79,1905.79,44916,9686945536.0
2021-03-02,1965.79,1843.79,1965.79,1818.79,70765,14796698624.0
2021-03-03,1825.79,1925.79,1935.56,1818.79,54215,11366685440.0
2021-03-04,1880.79,1818.79,1881.79,1795.89,65088,13297304320.0
2021-03-05,1785.79,1845.9,1880.79,1773.79,63779,13100315904.0
2021-03-08,1860.75,1745.79,1870.79,1745.79,63100,12724246016.0
2021-03-09,1740.79,1722.78,1785.79,1685.97,82266,16100769536.0
2021-03-10,1762.79,1755.8,1785.66,1752.79,51172,10136910336.0
2021-03-11,1760.79,1833.79,1865.78,1747.27,56769,11521736448.0
2021-03-12,1855.79,1811.79,1862.79,1787.8,40323,8181594624.0
2021-03-15,1835.79,1761.24,1855.59,1736.94,62485,12459955712.0
2021-03-16,1760.72,1796.29,1805.78,1750.79,34649,6918600704.0
2021-03-17,1785.79,1816.15,1835.79,1761.8,31375,6352656640.0
2021-03-18,1820.79,1855.49,1872.15,1820.79,33865,6997030400.0
2021-03-19,1820.79,1795.79,1828.79,1778.02,35781,7211521792.0
2021-03-22,1785.89,1775.78,1811.88,1741.34,36914,7323391232.0
2021-03-23,1784.67,1781.79,1794.59,1755.79,27446,5459520768.0
2021-03-24,1766.79,1774.79,1798.79,1766.79,29357,5857848064.0
2021-03-25,1755.8,1756.79,1774.67,1732.59,31575,6216733184.0
2021-03-26,1770.79,1798.79,1807.79,1743.79,50016,9987629568.0
2021-03-29,1828.99,1819.89,1882.14,1811.94,56992,11740129536.0
2021-03-30,1825.79,1841.84,1871.79,1820.87,32627,6717493248.0
2021-03-31,1830.89,1794.79,1831.81,1785.79,37154,7489086208.0
2021-04-01,1806.79,1830.29,1832.59,1787.01,26588,5379776000.0
2021-04-02,1841.79,1947.79,1950.79,1841.79,52028,10981752576.0
2021-04-06,1946.79,1911.82,1947.77,1888.09,32742,6967525120.0
2021-04-07,1889.85,1846.79,1903.09,1835.79,40201,8317799936.0
2021-04-08,1832.82,1855.79,1864.79,1829.79,28548,5893307648.0
2021-04-09,1827.79,1805.79,1839.79,1790.8,28809,5832453888.0
2021-04-12,1796.79,1794.68,1815.79,1777.49,31943,6409917440.0
2021-04-13,1805.79,1806.79,1835.59,1794.79,28992,5883787264.0
2021-04-14,1820.79,1832.79,1833.79,1801.79,24115,4908790016.0
2021-04-15,1816.69,1801.39,1832.69,1775.79,34366,6903769600.0
2021-04-16,1810.87,1840.77,1853.79,1797.79,30294,6183895040.0
2021-04-19,1840.79,1873.79,1884.15,1818.79,31754,6610577920.0
2021-04-20,1856.89,1880.59,1914.79,1855.79,28290,5949669888.0
2021-04-21,1861.79,1865.79,1883.59,1850.89,26150,5446146048.0
2021-04-22,1875.69,1841.29,1884.79,1837.29,26850,5539295744.0
2021-04-23,1841.76,1894.73,1905.67,1838.29,33463,7002695424.0
2021-04-26,1917.79,1863.61,1920.79,1859.39,34045,7160836864.0
2021-04-27,1872.87,1880.23,1881.04,1850.88,22108,4607779072.0
2021-04-28,1795.79,1827.79,1833.29,1788.79,81343,16463574528.0
2021-04-29,1832.83,1812.15,1835.73,1799.79,41284,8370431232.0
2021-04-30,1811.79,1792.57,1821.79,1789.5,38401,7723747072.0
2021-05-06,1785.79,1744.79,1792.63,1738.79,53546,10584968960.0
2021-05-07,1750.79,1688.79,1753.77,1686.79,52493,10101703424.0
2021-05-10,1685.79,1664.82,1694.79,1651.8,46003,8677753600.0
2021-05-11,1661.79,1744.79,1751.79,1659.09,42494,8209251840.0
2021-05-12,1734.87,1769.79,1784.79,1734.79,32699,6473203200.0
2021-05-13,1751.54,1757.29,1770.84,1738.79,25078,4934955008.0
2021-05-14,1767.79,1795.64,1816.29,1761.79,35611,7150301952.0
2021-05-17,1810.89,1843.75,1870.99,1810.89,44524,9178510080.0
2021-05-18,1850.79,1845.1,1862.79,1830.85,17504,3595891744.0
2021-05-19,1844.79,1834.79,1860.6,1825.79,22410,4606452480.0
2021-05-20,1859.79,1844.67,1859.89,1831.15,21857,4500663296.0
2021-05-21,1840.87,1827.89,1865.67,1822.81,24248,4976601344.0
2021-05-24,1836.79,1857.08,1865.85,1816.79,32548,6705879296.0
2021-05-25,1870.79,1980.29,1985.89,1870.79,67757,14636718848.0
2021-05-26,1993.77,2005.79,2027.59,1978.87,38604,8558038272.0
2021-05-27,1996.81,2030.79,2105.79,1986.89,45373,10240368896.0
2021-05-28,2026.76,2015.79,2035.79,1991.3,25807,5741331968.0
2021-05-31,2001.29,2003.79,2004.14,1957.79,31739,6960864256.0
